English Word,Grammatical Type,Pidgin Translation,Script,True Transcription,Skyhawk Orthography,set,pack
a,noun prefix,Qu,Qu,dthuh,ðu,noun prefix,grammar
aardvark,noun,nelH,nEH,nelkhh,nelħ,animal,
abandon,verb,virT,vVT,veerts,vērṣ,,
abdomen,noun,mom,mom,mom,mom,body,
ability,noun,piv,piv,pihv,piv,description,
"able, can",verb suffix,my,my,mee,mē,verb suffix,grammar
"abnormality, unusualness",noun,nun,nun,nuhn,nun,,
above,preposition,xy,xy,shee,šē,preposition,grammar
absence,compound noun,nuXr,nuXr,n'zhur,nᵘžur,,
"absorb, consume",verb,Weys,WFs,ways,wās,,
"abundance, too-much",noun,Hgym,HBm,khhoim,ħoim,,
"abuse, damage",noun,pcv,pcv,puov,pøv,,
"abuse, misuse",verb,Yil,YI,yil,yil,,
accelerate,verb,Qrp,Qrp,dthurp,ðurp,,
acceleration,compound noun,nuQrp,nuQrp,n'dthurp,nᵘðurp,,
accept,verb,hiz,hiz,hihz,hiz,,
acceptance,noun,poyj,pZj,piich,pīč,,
access,verb,pof,pof,pof,pof,,
accommodate,verb,hok,hok,hok,hok,,
"accomplish, achieve",verb,xcT,xcT,shuots,šøṣ,,
accuracy,noun,neln,nEn,neln,neln,,
accuse,verb,hgl,hG,hohl,hōl,,
acid,noun,mawj,mCj,mauwch,mowč,,
"acquire, gain",verb,kc,kc,kuo,kø,,
"activate, play, turn-on",verb,naD,naD,nadz,naẓ,,
adaptability,noun,Xgwj,Xgj,zhohwch,žōč,,
"add, combine, join",verb,mi,mi,mih,mi,,
"adhere, paste, stick",verb,nirf,nVf,neerf,nērf,,
"adjust, focus, tune",verb,ngyx,nBx,noish,noiš,,
admiration,noun,folf,fOf,fallf,folf,,
"admit, confess",verb,Xirn,XVn,zheern,žērn,,
admonish,verb,pgrm,pbm,poarm,pōrm,,
adrenal gland,noun,paH,paH,pakhh,paħ,,
adult,noun,koj,koj,koch,koč,,
"advertise, publicize",verb,Wey,WF,way,wā,,
advertisement,compound noun,nuWey,nuWF,n'way,nᵘwā,,
advise,verb,Hox,Hox,khhosh,ħoš,,
"aesthetics, beauty",noun,mrf,mrf,murf,murf,,
affix,noun,mgln,mGn,mohln,mōln,,
affordability,noun,Yawf,YCf,yauwf,yowf,,
Africa,proper noun,kuDoJ,kuDoJ,k'dzoj,kᵘẓoj,,
after,preposition,hrj,hrj,hurch,hurč,preposition,grammar
afternoon,noun,Hav,Hav,khhav,ħav,,
age,verb,nwn,nwn,noohn,nün,,
aggravation (emotion),noun,ler,",lP",lair,lār,emotion,
aggression,noun,valf,vAf,valf,valf,,
agnosticism,compound noun,pgyfHr,pBfHr,poif-khhur,poif-ħur,,
agree-about,verb,kerx,kPx,kairsh,kārš,,
agriculture,noun,vawQ,vCQ,vauwdth,vowð,,
"aid, assist, help",verb,kam,kam,kam,kam,,
"aim, set-goal",verb,WuX,WuX,wuhzh,wuž,,
air,noun,qoyx,qZx,thiish,θīš,science,
air conditioner,noun,qrD,qrD,thurdz,θurẓ,,
airplane,noun,Hrv,Hrv,khhurv,ħurv,,
albatross,noun,Dwq,Dwq,dzoohth,ẓüθ,animal,
albedo,noun,Yglx,YGx,yohlsh,yōlš,,
alcohol,noun,vum,vum,vuhm,vum,food,
alertness,noun,srf,srf,surf,surf,,
algae,noun,koyv,kZv,kiiv,kīv,,
alien (extra-terrestrial),noun,mym,mym,meem,mēm,,
"alien, stranger",noun,qawz,qCz,thauwz,θowz,,
aligned-with,compound preposition,lwXr,",lwXr",looh-zhur,lü-žur,,
alignment,noun,vgyH,vBH,voikhh,voiħ,,
alkali,noun,Naq,Naq,ngath,ŋaθ,,
Allah,proper noun,kuYol,kuYO,k'yall,kᵘyol,,
alligator,noun,HglX,HGX,khhohlzh,ħōlž,,
"allocate, set-aside",verb,QeJ,QeJ,dthehj,ðej,,
all-of,noun prefix,Ju,Ju,juh,ju,noun prefix,grammar
"allow, permit",verb,zulz,zUz,zulz,zulz,,
allowed,verb suffix,lul,",lU",lul,lul,verb suffix,grammar
allowed-to-be,compound verb,lylul,",lylU",lee-lul,lē-lul,,
ally,noun,Rop,Rop,rop,rop,,
alphabet,noun,Xern,XPn,zhairn,žārn,,
also,noun suffix,Tu,Tu,tsuh,ṣu,noun suffix,grammar
altitude,noun,XyX,XyX,zheezh,žēž,,
"always, anytime, forever",compound noun,Juqe,Juqe,j'theh,jᵘθe,,
amazement,noun,hyH,hyH,heekhh,hēħ,,
amber (color),compound noun,nol su feJ,nO su feJ,nall s'fehj,nol sᵘfej,,
amber (substance),noun,Jo,Jo,jo,jo,,
"ambush, assassinate",verb,suv,suv,suhv,suv,,
"ammunition, projectile",noun,Walz,WAz,walz,walz,,
amount,noun,nul,nU,nul,nul,,
amphibian,noun,Jgln,JGn,johln,jōln,,
analysis,noun,jglT,jGT,chohlts,čōlṣ,,
"analyze, appraise, assess",verb,Yor,YS,yar,yar,,
ancestor,noun,kcq,kcq,kuoth,køθ,,
and,conjunction,mu,mu,muh,mu,preposition,grammar
and-or,conjunction,Yu,Yu,yuh,yu,preposition,grammar
androgyne-femme,noun,pgwH,pgH,pohwkhh,pōħ,,
androgyne-herm,noun,qgwH,qgH,thohwkhh,θōħ,,
androgyne-male,noun,lgwH,",lgH",lohwkhh,lōħ,animal,
androgyne-nullo,noun,NgwH,NgH,ngohwkhh,ŋōħ,,
"androgyny, intergender",noun,pgw,pg,pohw,pō,,
angel,noun,koyz,kZz,kiiz,kīz,,
"anger, rage",noun,zaX,zaX,zazh,zaž,,
angle,noun,Dglz,DGz,dzohlz,ẓōlz,,
animal,noun,kaN,kaN,kang,kaŋ,,
animation (cartoon),noun,hor,hS,har,har,,
animation (physical),noun,Nal,,ngal,ŋal,,
animosity,compound noun,nufif,nufif,n'fihf,nᵘfif,,
ankle,noun,Wes,Wes,wehs,wes,,
ankylosaur,noun,xip,xip,shihp,šip,,
annoyance,noun,laT,",laT",lats,laṣ,,
"answer, reply",verb,qelk,qEk,thelk,θelk,,
ant,noun,WorJ,WSJ,warj,warj,,
anteater,noun,YglJ,YGJ,yohlj,yōlj,,
antelope,noun,qulz,qUz,thulz,θulz,,
antenna/e,noun,Worj,WSj,warch,warč,,
anterior-area,compound noun,per su krz,pP su krz,pair s'kurz,pār sᵘkurz,,
anti,unary suffix,Jw,Jw,jooh,jü,unary suffix,grammar
"anticipate, expect",verb,qglx,qGx,thohlsh,θōlš,,
anus,noun,xuz,xuz,shuhz,šuz,,
anxiety,compound noun,Tal su jelv,TA su jEv,tsal s'chelv,ṣal sᵘčelv,,
"anyone, everyone",compound noun,Jufr,Jufr,j'fur,jᵘfur,,
"anything, everything",compound noun,JuDu,JuDu,j'dzuh,jᵘẓu,,
"anywhere, everywhere",compound noun,JuDr,JuDr,j'dzur,jᵘẓur,,
apathy,noun,xwv,xwv,shoohv,šüv,,
ape,noun,QerJ,QPJ,dthairj,ðārj,,
aphid,noun,Noyf,NZf,ngiif,ŋīf,,
apologize,verb,forq,fSq,farth,farθ,,
apology,compound noun,nuforq,nufSq,n'farth,nᵘfarθ,,
"appearance, veneer",noun,sok,sok,sok,sok,,
appear-like,verb,xrj,xrj,shurch,šurč,,
appetizer,noun,felv,fEv,felv,felv,,
apple,noun,mers,mPs,mairs,mārs,,
"apply, baste, coat, layer",verb,hin,hin,hihn,hin,,
"appointment, date (meeting)",noun,fcj,fcj,fuoch,føč,,
"appreciation, gratitude",noun,forp,fSp,farp,farp,,
approach,verb,JelT,JET,jelts,jelṣ,,
approve-of,verb,qcT,qcT,thuots,θøṣ,,
April,noun,Xgw,Xg,zhohw,žō,,
"aqua, cyan (color)",noun,zcn,zcn,zuon,zøn,,
aquatic-animal (gills only),noun,lup,",lup",luhp,lup,animal,
arch,noun,leQ,",leQ",lehdth,leð,description,
archaen,noun,Nul,NU,ngul,ŋul,,
archaeopteryx,noun,jel,jE,chel,čel,,
arctic-area,noun,Ralq,RAq,ralth,ralθ,,
area (amount of 2d space),noun,xilz,xIz,shilz,šilz,,
"area, region (location)",noun,TaN,TaN,tsang,ṣaŋ,,
areola,noun,QrJ,QrJ,dthurj,ðurj,,
"argue, debate",verb,Waln,WAn,waln,waln,,
arm (manipulator),noun,nex,nex,nehsh,neš,,
armadillo,noun,xelJ,xEJ,shelj,šelj,,
armor,noun,qoN,qoN,thong,θoŋ,,
army,noun,Yawx,YCx,yauwsh,yowš,,
around,preposition,Yi,Yi,yih,yi,preposition,grammar
"arrange, coordinate",verb,JaT,JaT,jats,jaṣ,,
arrest,verb,zgwT,zgT,zohwts,zōṣ,,
arrow (for a bow),noun,Woq,Woq,woth,woθ,,
"arrow, pointer",compound noun,numwksr,numwksr,n'moohk-sur,nᵘmük-sur,,
art,noun,joyJ,jZJ,chiij,čīj,,
"artificial-item, fake-item",noun,Nef,Nef,ngehf,ŋef,,
ash,noun,poyq,pZq,piith,pīθ,,
Asia,proper noun,kuJelq,kuJEq,k'jelth,kᵘjelθ,,
"ask, request",verb,sawx,sCx,sauwsh,sowš,,
assemble,verb,Xorp,XSp,zharp,žarp,,
"assembly, gathering",compound noun,nuNyq,nuNyq,n'ngeeth,nᵘŋēθ,,
assistance,compound noun,nukam,nukam,n'kam,nᵘkam,,
"associate, group",verb,Doy,DZ,dzii,ẓī,,
"assortment, potpourri",noun,zey,zF,zay,zā,,
"assume, guess",verb,Jerm,JPm,jairm,jārm,,
assumption,compound noun,nuJerm,nuJPm,n'jairm,nᵘjārm,,
asteroid,noun,Haln,HAn,khhaln,ħaln,,
astronomy,noun,koyD,kZD,kiidz,kīẓ,,
at (located at),compound preposition,RiJy,RiJy,rih-jee,ri-jē,,
atheism,compound noun,pgyfJw,pBfJw,poif-jooh,poif-jü,,
atmosphere,noun,zel,zE,zel,zel,,
"attack, fight",verb,Rir,RV,reer,rēr,,
"attain, reach",verb,vc,vc,vuo,vø,,
attempt,compound verb,lyRul,",lyRU",lee-rul,lē-rul,,
"attempt, shot, try",compound noun,nuRul,nuRU,n'rul,nᵘrul,,
attempting,verb suffix,Rul,RU,rul,rul,verb suffix,grammar
"attend, occupy",verb,hav,hav,hav,hav,,
"attend-to, maintain",verb,Rorn,RSn,rarn,rarn,,
attract,verb,vawx,vCx,vauwsh,vowš,,
"attribute, blame",verb,pglm,pGm,pohlm,pōlm,,
"attribute, characteristic",noun,Da,Da,dza,ẓa,description,
August,noun,ReJ,ReJ,rehj,rej,,
"aunt, uncle",noun,Yglk,YGk,yohlk,yōlk,,
Australia,proper noun,kusalT,kusAT,k'salts,kᵘsalṣ,,
authority,noun,vyq,vyq,veeth,vēθ,,
automation,noun,Jalk,JAk,jalk,jalk,,
automobile,noun,kcm,kcm,kuom,køm,,
autonomy,noun,noyv,nZv,niiv,nīv,,
"Autumn, Fall",noun,Wgr,Wb,woar,wōr,,
"avatar, representation",compound noun,nujglzsr,nujGzsr,n'chohlz-sur,nᵘčōlz-sur,,
"avoid, dodge",verb,Jors,JSs,jars,jars,,
award,verb,mof,mof,mof,mof,,
awareness,noun,Tgrq,Tbq,tsoarth,ṣōrθ,,
away-facing,compound noun,nuJrj,nuJrj,n'jurch,nᵘjurč,,
awkwardness (emotional),noun,folz,fOz,fallz,folz,,
awkwardness (of form),noun,Jgyz,JBz,joiz,joiz,,
"awl, spike",noun,lo,",lo",lo,lo,,
axe,noun,RoH,RoH,rokhh,roħ,,
azure,compound noun,kuq su zcn,kuq su zcn,kuhth s'zuon,kuθ sᵘzøn,,
"baby, infant",noun,kup,kup,kuhp,kup,,
back (of organism),noun,Dirs,DVs,dzeers,ẓērs,,
background,noun,forj,fSj,farch,farč,,
bacterium,noun,joN,joN,chong,čoŋ,,
bag,noun,Yelp,YEp,yelp,yelp,,
bagel,noun,vgrs,vbs,voars,vōrs,,
baking powder,compound noun,Jem su nuxwN,Jem su nuxwN,jehm s'n'shoohng,jem sᵘnᵘšüŋ,,
baking soda,compound noun,Rrn su nuXen,Rrn su nuXen,rurn s'n'zhehn,rurn sᵘnᵘžen,,
"balance, mediate, moderate",verb,qulj,qUj,thulch,θulč,,
"balance, scale",compound noun,nuzolfsr,nuzOfsr,n'zallf-sur,nᵘzolf-sur,,
"ball, sphere",noun,korq,kSq,karth,karθ,,
"balm, salve",noun,perJ,pPJ,pairj,pārj,,
bamboo,noun,Wok,Wok,wok,wok,,
"ban, exile, prohibit",verb,virp,vVp,veerp,vērp,,
banana,noun,YwT,YwT,yoohts,yüṣ,,
bandage,noun,filn,fIn,filn,filn,bathroom,home
bank,noun,kalX,kAX,kalzh,kalž,,
"bar, prevent",verb,nrx,nrx,nursh,nurš,,
"bar, saloon",noun,fgrm,fbm,foarm,fōrm,,
bark (communing expression),noun,Worf,WSf,warf,warf,,
bark (tree),noun,xirD,xVD,sheerdz,šērẓ,,
barley,noun,syz,syz,seez,sēz,,
"barter, exchange, trade",verb,zerJ,zPJ,zairj,zārj,,
base (of operations),noun,norJ,nSJ,narj,narj,,
baseball,noun,swn,swn,soohn,sün,,
"bashfulness, shyness",noun,qo,qo,tho,θo,,
basis,noun,jax,jax,chash,čaš,,
basket,noun,qerj,qPj,thairch,θārč,,
basketball,noun,Rulx,RUx,rulsh,rulš,,
bat (animal),noun,vwT,vwT,voohts,vüṣ,,
"bat, baton",noun,Dgrj,Dbj,dzoarch,ẓōrč,,
bathing-suit,noun,ni,ni,nih,ni,,
"bathroom, latrine, restroom",noun,neym,nFm,naym,nām,bathroom,home
bathtub,noun,HeyT,HFT,khhayts,ħāṣ,bathroom,home
batter (cooking),noun,Tals,TAs,tsals,ṣals,,
"batter, slam",verb,qulk,qUk,thulk,θulk,,
"battle, fray",noun,Toyx,TZx,tsiish,ṣīš,,
"bayou, swamp",noun,fcT,fcT,fuots,føṣ,,
"be, do, take-action",verb,ly,",ly",lee,lē,,
beach,noun,suQ,suQ,suhdth,suð,,
"beak, bill",noun,Dok,Dok,dzok,ẓok,body,
bean,noun,pgyj,pBj,poich,poič,,
bear,noun,lilj,",lIj",lilch,lilč,animal,
beard,noun,zglf,zGf,zohlf,zōlf,,
beast (non-sentient being),noun,zyx,zyx,zeesh,zēš,,
"beat, whip",verb,Dyx,Dyx,dzeesh,ẓēš,,
"beauty, sex appeal (sexual)",noun,fgl,fG,fohl,fōl,,
beaver,noun,hrs,hrs,hurs,hurs,,
because-of,preposition,fwj,fwj,foohch,füč,preposition,grammar
become,verb,xw,xw,shooh,šü,,
bed,noun,hax,hax,hash,haš,bedroom,home
bedroom,noun,Qon,Qon,dthon,ðon,bedroom,home
bee,noun,sol,sO,sall,sol,,
"beep, peep",noun,pyp,pyp,peep,pēp,,
beer,noun,qeyk,qFk,thayk,θāk,,
beetle,noun,xuN,xuN,shuhng,šuŋ,,
before,preposition,hr,hr,hur,hur,preposition,grammar
befriend,verb,Hwz,Hwz,khhoohz,ħüz,,
"beg, plead",verb,pun,pun,puhn,pun,,
"begin, commence (pres. tense)",compound verb,quzly,quzly,thuhz-lee,θuz-lē,,
beginning,noun,Qeyx,QFx,dthaysh,ðāš,,
being-upside-down,noun,jwv,jwv,choohv,čüv,,
believe,verb,hels,hEs,hels,hels,,
bell,noun,NuN,NuN,nguhng,ŋuŋ,,
"belly, gut",noun,Tuz,Tuz,tsuhz,ṣuz,,
below,preposition,xyj,xyj,sheech,šēč,preposition,grammar
belt,noun,Derk,DPk,dzairk,ẓārk,,
be-named,verb,xey,xF,shay,šā,,
