Pidgin,Grammatical Type,Script,True Transcription,Skyhawk Orthography,English Translation,set,pack
Da,noun,Da,dza,ẓa,"attribute, characteristic",description,
DaD,noun,DaD,dzadz,ẓaẓ,roadrunner,zoology,science
Dak,noun,Dak,dzak,ẓak,blemish,description,
DalD,noun,DAD,dzaldz,ẓalẓ,button (clothing),clothing,home
Dalf,noun,DAf,dzalf,ẓalf,crocodile,zoology,science
Dalk,noun,DAk,dzalk,ẓalk,shape,description,
Dam,verb,Dam,dzam,ẓam,recycle,kitchen,home
Dan,verb,Dan,dzan,ẓan,cycle,physics,science
Daq,noun,Daq,dzath,ẓaθ,blinds (window),kitchen,
Dav,noun,Dav,dzav,ẓav,pride,emotion,emotion
DawD,noun,DCD,dzauwdz,ẓowẓ,latitude,geography,
Dawf,verb,DCf,dzauwf,ẓowf,be-tired-of,emotion,emotion
Dawj,noun,DCj,dzauwch,ẓowč,consent,social,social
Dax,noun,Dax,dzash,ẓaš,rainforest,geography,
Daz,noun,Daz,dzaz,ẓaz,mode (of operation),,
DcD,noun,DcD,dzuodz,ẓøẓ,obsolescence,,
Dcn,verb,Dcn,dzuon,ẓøn,negotiate,,
DcX,noun,DcX,dzuozh,ẓøž,zombie,fantasy,
DeH,verb,DeH,dzehkhh,ẓeħ,"manage, oversee",,
DeJ,noun,DeJ,dzehj,ẓej,insect,zoology,science
Dej,noun,Dej,dzehch,ẓeč,screwdriver,tool,home
Del,verb,DE,dzel,ẓel,"command, demand",,
DelD,noun,DED,dzeldz,ẓelẓ,"pyramid, tetrahedron",,
Dels,noun,DEs,dzels,ẓels,"bill, check (something owed)",,
DelT,noun,DET,dzelts,ẓelṣ,reactivity,,
Dem,verb,Dem,dzehm,ẓem,"initiate, introduce",,
Deq,verb,Deq,dzehth,ẓeθ,deny,,
Der,noun,DP,dzair,ẓār,intent,,
DerJ,noun,DPJ,dzairj,ẓārj,nerve,anatomy,science
Derk,noun,DPk,dzairk,ẓārk,belt,,
Ders,noun,DPs,dzairs,ẓārs,sea anemone,zoology,science
Des,noun,Des,dzehs,ẓes,refrigerator,kitchen,
Dev,noun,Dev,dzehv,ẓev,butterfly,zoology,science
DeyH,noun,DFH,dzaykhh,ẓāħ,silver,,
Deyj,noun,DFj,dzaych,ẓāč,Summer,,
Deyk,noun,DFk,dzayk,ẓāk,udder,anatomy,science
Deyq,noun,DFq,dzayth,ẓāθ,frog,zoology,science
Deys,verb,DFs,dzays,ẓās,practice,,
Deyx,verb,DFx,dzaysh,ẓāš,browse,,
Deyz,noun,DFz,dzayz,ẓāz,hair (groin area),anatomy,science
Dez,noun,Dez,dzehz,ẓez,energy (potential),,
Dgl,noun,DG,dzohl,ẓōl,"diversity, variety",,
Dglq,verb,DGq,dzohlth,ẓōlθ,disagree-about,,
Dglz,noun,DGz,dzohlz,ẓōlz,angle,geometry,mathematics
Dgr,verb,Db,dzoar,ẓōr,"finalize, wrap-up",,
Dgrf,noun,Dbf,dzoarf,ẓōrf,peanut,food,
Dgrj,noun,Dbj,dzoarch,ẓōrč,"bat, baton",,
Dgrs,noun,Dbs,dzoars,ẓōrs,immigrant,,
Dgrz,noun,Dbz,dzoarz,ẓōrz,main-course,food,
Dgwf,verb,Dgf,dzohwf,ẓōf,"suspect, wonder",,
Dgwj,noun,Dgj,dzohwch,ẓōč,olive (food),food,
Dgwp,noun,Dgp,dzohwp,ẓōp,hybrid,,
Dgwv,noun,Dgv,dzohwv,ẓōv,tundra,,
DgwX,verb,DgX,dzohwzh,ẓōž,"file, put-away",,
Dgyn,noun,DBn,dzoin,ẓoin,spaceship,,
Dgys,noun,DBs,dzois,ẓois,bounce,,
DgyT,noun,DBT,dzoits,ẓoiṣ,caustic-ness,,
DiD,verb,DiD,dzihdz,ẓiẓ,"cram, jam, stuff",,
Dilf,noun,DIf,dzilf,ẓilf,wax,,
DilJ,verb,DIJ,dzilj,ẓilj,"defecate, excrete (substance)",bathroom,home
Dir,noun,DV,dzeer,ẓēr,possessions,bedroom,home
Dirk,noun,DVk,dzeerk,ẓērk,zebra,zoology,science
Dirs,noun,DVs,dzeers,ẓērs,back (of organism),anatomy,science
DirT,noun,DVT,dzeerts,ẓērṣ,quality,,
Dirx,noun,DVx,dzeersh,ẓērš,vertebrate,zoology,science
Dirz,noun,DVz,dzeerz,ẓērz,vertebra,,
Dok,noun,Dok,dzok,ẓok,"beak, bill",anatomy,science
Dol,noun,DO,dzall,ẓol,boredom,,
Dolk,noun,DOk,dzallk,ẓolk,scalpel,,
Doln,noun,DOn,dzalln,ẓoln,focal-point,,
Dolp,noun,DOp,dzallp,ẓolp,"diamond-shape, rhombus",,
DolT,verb,DOT,dzallts,ẓolṣ,prescribe,,
Dolx,noun,DOx,dzallsh,ẓolš,work (physical),,
Don,noun,Don,dzon,ẓon,condiment,food,
Dork,noun,DSk,dzark,ẓark,hemp,clothing,home
Dorm,noun,DSm,dzarm,ẓarm,handgun,,
Dorn,noun,DSn,dzarn,ẓarn,dress,clothing,home
Dorp,noun,DSp,dzarp,ẓarp,rag,kitchen,
Dorq,noun,DSq,dzarth,ẓarθ,manatee,zoology,science
Dorx,noun,DSx,dzarsh,ẓarš,whip,,
DoT,noun,DoT,dzots,ẓoṣ,stadium,,
Dox,noun,Dox,dzosh,ẓoš,cereal,food,
Doy,verb,DZ,dzii,ẓī,"associate, group",,
Doyf,noun,DZf,dziif,ẓīf,diaper,clothing,home
Doyj,verb,DZj,dziich,ẓīč,"experiment, test",,
Doyp,noun,DZp,dziip,ẓīp,skirt,clothing,home
Dr,noun,Dr,dzur,ẓur,location,,
DrD,verb,DrD,dzurdz,ẓurẓ,dent,,
Drf,noun,Drf,dzurf,ẓurf,plaque (ornament),,
DrH,noun,DrH,dzurkhh,ẓurħ,bitterness (flavor),food,
Drm,noun,Drm,dzurm,ẓurm,quail,zoology,science
Drp,noun,Drp,dzurp,ẓurp,moose,zoology,science
Drs,noun,Drs,dzurs,ẓurs,cynicism,emotion,emotion
DrX,noun,DrX,dzurzh,ẓurž,phenomenon,,
Drz,noun,Drz,dzurz,ẓurz,flipper,anatomy,science
Du,noun,Du,dzuh,ẓu,"noun, object, thing",,
DuD,noun,DuD,dzuhdz,ẓuẓ,"centipede, millipede",zoology,science
Duj,noun,Duj,dzuhch,ẓuč,"vacuum, void",,
Dul,verb suffix,DU,dzul,ẓul,needing,verb suffix,grammar
Dulj,noun,DUj,dzulch,ẓulč,stubbornness,,
Dun,noun,Dun,dzuhn,ẓun,horizontal,,
Dw,conjunction,Dw,dzooh,ẓü,whether,preposition,grammar
Dwj,conjunction,Dwj,dzoohch,ẓüč,whether-then,preposition,grammar
DwJ,noun,DwJ,dzoohj,ẓüj,drill bit,,
Dwk,noun,Dwk,dzoohk,ẓük,floating,,
Dwq,noun,Dwq,dzoohth,ẓüθ,albatross,zoology,science
Dy,verb suffix,Dy,dzee,ẓē,desiring,verb suffix,grammar
Dyf,noun,Dyf,dzeef,ẓēf,carrion,biology,science
Dyk,noun,Dyk,dzeek,ẓēk,nipple,,
Dym,verb,Dym,dzeem,ẓēm,"blend, mix, stir",kitchen,
Dyx,verb,Dyx,dzeesh,ẓēš,"beat, whip",,
fa,verb,fa,fa,fa,interpret,,
faf,verb,faf,faf,faf,wear,clothing,home
